Word;Zirgu / Motorizēts
alfs romeo;m
atsperrati;z
auto;m
auto nāve limuzinis;m
autobuss;m
autokārs;m
auto-limuzīna;m
automašina;m
automašīna;m
automobilis;m
automobils;m
automobiļs;m
automobīlis;m
automotors;m
autotaksis;m
autovāģis;m
ātrs palīdzība auto;m
ātrs palīdzība rats;z
ātrs palīdzība vāģis;z
ātrs vilciens;m
ātrvilciens;m
b. s. a.;m
bagaža vilciens;m
bēris;z
bruņas auto;m
bruņas vilciens;m
bruņot auto;m
bruņot automobilis;m
bruņot vilciens;m
bruņvilciens;m
četrjūgs;z
daimlers;m
darbs vāģis;z
diližanss;z
divjūgs;z
divjūgs kulba;z
divjūgs ore;z
divjūgs ormanis;z
divrate;z
divriči;z
divritenis;z
divzirgs fūrmanis;z
divzirgs ore;z
divzirgs pajūgs;z
drezīna;m
droška;z
dzelzasu rats;z
dzelzsceļš;m
dzelzceļš;m
dzelzceļš vilciens;m
dzelzsasnieks;z
dzelzsceļš rats;m
eizenbānis;m
eizenbāns;m
eķipaža;z
elektrisks automobilis;m
elektrisks ātrbraucējs;m
elektrisks gaiss vāģis;m
elektrisks tramvajs;m
elektrokars;m
elektrotraktors;m
essex roadster;m
faetons;z
fiakrs;z
fords;m
fūre;z
fūrmanis;z
fūrmaņs kamanas;z
gods rats;z
HarleysDavidsons;m
iela autobuss;m
iela dzelzceļš;m
indian;m
kamanas;z
kariete;z
kars rats;z
kauja zirgs;z
kokasu rats;z
kulba;z
kumeļš;z
kurvjrats;z
ķēve;z
ķēvīte;z
limuzins;m
limuzīns;m
linijrats;z
līnijdroška;z
līnijrati;z
līnijrati;z
lokomobīle;m
lokomotīve;m
mazs bānītis;m
melnis ;z
mercedes benc;m
metro;m
motociklets;m
motocikls;m
motocikls ar blakusvāģis;m
motorrats;m
oldsmobili;m
omnibuss;z
ore;z
ormanis;z
ormanis droška;z
ormanis rats;z
ormanis zirgs;z
ormaņrats;z
pajūgs;z
pasts rats;z
pasts zirgs;z
pašbraucejs;m
prece auto;m
prece vāģis;m
puskariete;z
pusrats;z
ragavas;z
redelains ore;z
redele rats;z
rikša;z
rikšotājs;z
rodsters;m
Roll-Rois;m
rumaks;z
sanitars automobilis;m
sanitartransports;m
spēkarats;m
sports auto;m
sports mašīna;m
sports mašīnīte;m
ševrolets;m
šībervilciena;m
taksametrs;m
taksis;m
taksītis;m
taksometris;m
taksometrs;m
taksomotors;m
tamborrati;z
tanks;m
traktors;m
trams;m
tramvajs;m
tramvajvāģs;m
transports;m
trijjūgs;z
ugunsdzēsējs auto;m
važonis;z
velomotors;m
velosipeds;z
velosipēds;m
vezumnieks;z
vezumnieks ragavas;z
vezums;z
vienjūgs;z
vilciens;m
vilciens sastāvs;m
zirdziņš;z
zirgs;z
zirgs tramvajs;z
zirģelis;z
